"status","gene-symbol","gene-name","ensembl-id","chromosome","genetic-category","gene-score","syndromic","number-of-reports","gene_biotype","ID"
9,"ABAT","4-aminobutyrate aminotransferase","ENSG00000183044","16","Rare Single Gene Mutation, Genetic Association",3,0,5,"protein_coding","ENSG00000183044"
9,"ABCA10","ATP-binding cassette, sub-family A (ABC1), member 10","ENSG00000154263","17","Rare Single Gene Mutation",3,0,1,"protein_coding","ENSG00000154263"
9,"ABCA13","ATP binding cassette subfamily A member 13","ENSG00000179869","7","Rare Single Gene Mutation, Functional",3,0,6,"protein_coding","ENSG00000179869"
9,"ABCA7","ATP-binding cassette, sub-family A (ABC1), member 7","ENSG00000064687","19","Rare Single Gene Mutation",3,0,4,"protein_coding","ENSG00000064687"
9,"ACE","angiotensin I converting enzyme","ENSG00000159640","17","Rare Single Gene Mutation, Genetic Association",3,0,3,"protein_coding","ENSG00000159640"
9,"ACHE","Acetylcholinesterase (Yt blood group)","ENSG00000087085","7","Rare Single Gene Mutation",2,0,4,"protein_coding","ENSG00000087085"
9,"ACTB","actin beta","ENSG00000075624","7","Rare Single Gene Mutation, Syndromic",1,0,3,"protein_coding","ENSG00000075624"
9,"ACTL6B","actin like 6B","ENSG00000077080","7","Rare Single Gene Mutation, Syndromic",NA,1,8,"protein_coding","ENSG00000077080"
9,"ACTN4","actinin alpha 4","ENSG00000130402","19","Rare Single Gene Mutation",3,0,4,"protein_coding","ENSG00000130402"
9,"ACTN4","actinin alpha 4","ENSG00000130402","19","Rare Single Gene Mutation",3,0,4,"protein_coding","ENSG00000282844"
9,"ACY1","aminoacylase 1","ENSG00000243989","3","Rare Single Gene Mutation, Syndromic",NA,1,9,"protein_coding","ENSG00000243989"
9,"ADA","adenosine deaminase","ENSG00000196839","20","Rare Single Gene Mutation, Genetic Association",2,0,7,"protein_coding","ENSG00000196839"
9,"ADCY3","adenylate cyclase 3","ENSG00000138031","2","Rare Single Gene Mutation",2,0,2,"protein_coding","ENSG00000138031"
9,"ADCY5","Adenylate cyclase 5","ENSG00000173175","3","Rare Single Gene Mutation",3,0,6,"protein_coding","ENSG00000173175"
9,"ADK","adenosine kinase","ENSG00000156110","10","Rare Single Gene Mutation",3,0,2,"protein_coding","ENSG00000156110"
9,"ADNP","Activity-dependent neuroprotector homeobox","ENSG00000101126","20","Rare Single Gene Mutation, Syndromic, Functional",1,0,39,"protein_coding","ENSG00000101126"
9,"ADORA3","Adenosine A3 receptor","ENSG00000282608","1","Rare Single Gene Mutation, Functional",3,0,2,"protein_coding","ENSG00000282608"
9,"ADORA3","Adenosine A3 receptor","ENSG00000282608","1","Rare Single Gene Mutation, Functional",3,0,2,"protein_coding","ENSG00000121933"
9,"ADSL","adenylosuccinate lyase","ENSG00000239900","22","Rare Single Gene Mutation, Syndromic",1,0,6,"protein_coding","ENSG00000239900"
9,"AFF2","AF4/FMR2 family, member 2","ENSG00000155966","X","Rare Single Gene Mutation, Syndromic",1,0,15,"protein_coding","ENSG00000155966"
9,"AFF2","AF4/FMR2 family, member 2","ENSG00000155966","X","Rare Single Gene Mutation, Syndromic",1,0,15,"protein_coding","ENSG00000269754"
9,"AGAP1","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1","ENSG00000157985","2","Rare Single Gene Mutation",3,0,8,"protein_coding","ENSG00000157985"
9,"AGAP2","ArfGAP with GTPase domain, ankyrin repeat and PH domain 2","ENSG00000135439","12","Rare Single Gene Mutation",2,0,4,"protein_coding","ENSG00000135439"
9,"AGBL4","ATP/GTP binding protein-like 4","ENSG00000186094","1","Rare Single Gene Mutation",3,0,3,"protein_coding","ENSG00000186094"
9,"AGMO","alkylglycerol monooxygenase","ENSG00000187546","7","Rare Single Gene Mutation, Genetic Association",3,0,6,"protein_coding","ENSG00000187546"
9,"AGO1","argonaute 1, RISC catalytic component","ENSG00000092847","1","Rare Single Gene Mutation",2,0,7,"protein_coding","ENSG00000092847"
9,"AGO3","argonaute RISC catalytic component 3","ENSG00000126070","1","Rare Single Gene Mutation",3,0,4,"protein_coding","ENSG00000126070"
9,"AGO4","argonaute RISC catalytic component 4","ENSG00000134698","1","Rare Single Gene Mutation",2,0,3,"protein_coding","ENSG00000134698"
9,"AGTR2","angiotensin II receptor, type 2","ENSG00000180772","X","Rare Single Gene Mutation",3,0,3,"protein_coding","ENSG00000180772"
9,"AGTR2","angiotensin II receptor, type 2","ENSG00000180772","X","Rare Single Gene Mutation",3,0,3,"protein_coding","ENSG00000269602"
9,"AHDC1","AT-hook DNA binding motif containing 1","ENSG00000126705","1","Rare Single Gene Mutation, Syndromic",1,0,11,"protein_coding","ENSG00000126705"
9,"AHI1","Abelson helper integration site 1","ENSG00000135541","6","Rare Single Gene Mutation, Syndromic, Genetic Association",NA,1,19,"protein_coding","ENSG00000135541"
9,"AKAP9","A kinase (PRKA) anchor protein 9","ENSG00000127914","7","Rare Single Gene Mutation",2,0,5,"protein_coding","ENSG00000127914"
9,"ALDH1A3","aldehyde dehydrogenase 1 family member A3","ENSG00000184254","15","Rare Single Gene Mutation, Syndromic",NA,1,5,"protein_coding","ENSG00000184254"
9,"ADSS2","adenylosuccinate synthase 2","ENSG00000035687","1","Rare Single Gene Mutation",3,0,3,"protein_coding","ENSG00000035687"
9,"ALDH5A1","aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase )","ENSG00000112294","6","Rare Single Gene Mutation, Syndromic",1,0,10,"protein_coding","ENSG00000112294"
9,"AMPD1","Adenosine monophosphate deaminase 1","ENSG00000116748","1","Rare Single Gene Mutation, Genetic Association",2,0,3,"protein_coding","ENSG00000116748"
9,"AMT","Aminomethyltransferase","ENSG00000145020","3","Rare Single Gene Mutation",2,0,1,"protein_coding","ENSG00000145020"
9,"ANK2","Ankyrin 2, neuronal","ENSG00000145362","4","Rare Single Gene Mutation",1,0,14,"protein_coding","ENSG00000145362"
9,"ANK3","ankyrin 3","ENSG00000151150","10","Rare Single Gene Mutation, Genetic Association",1,0,26,"protein_coding","ENSG00000151150"
9,"ANKRD11","ankyrin repeat domain 11","ENSG00000167522","16","Rare Single Gene Mutation, Syndromic",1,0,43,"protein_coding","ENSG00000167522"
9,"ANKS1B","ankyrin repeat and sterile alpha motif domain containing 1B","ENSG00000185046","12","Rare Single Gene Mutation, Syndromic",3,1,3,"protein_coding","ENSG00000185046"
9,"ANXA1","Annexin A1","ENSG00000135046","9","Rare Single Gene Mutation",2,0,2,"protein_coding","ENSG00000135046"
9,"AP1S2","adaptor related protein complex 1 sigma 2 subunit","ENSG00000182287","X","Rare Single Gene Mutation, Syndromic",NA,1,5,"protein_coding","ENSG00000182287"
9,"APBA2","amyloid beta (A4) precursor protein-binding, family A, member 2","ENSG00000034053","15","Rare Single Gene Mutation",3,0,7,"protein_coding","ENSG00000034053"
9,"APBA2","amyloid beta (A4) precursor protein-binding, family A, member 2","ENSG00000034053","15","Rare Single Gene Mutation",3,0,7,"protein_coding","ENSG00000276495"
9,"APBB1","amyloid beta precursor protein binding family B member 1","ENSG00000166313","11","Rare Single Gene Mutation, Functional",2,0,3,"protein_coding","ENSG00000166313"
9,"APH1A","APH1A gamma secretase subunit","ENSG00000117362","1","Rare Single Gene Mutation",2,0,2,"protein_coding","ENSG00000117362"
9,"APH1A","APH1A gamma secretase subunit","ENSG00000117362","1","Rare Single Gene Mutation",2,0,2,"protein_coding","ENSG00000266334"
9,"ARHGAP11B","Rho GTPase activating protein 11B","ENSG00000285077","15","Rare Single Gene Mutation",3,0,2,"protein_coding","ENSG00000285077"
9,"ARHGAP11B","Rho GTPase activating protein 11B","ENSG00000285077","15","Rare Single Gene Mutation",3,0,2,"protein_coding","ENSG00000187951"
9,"ARHGAP32","Rho GTPase activating protein 32","ENSG00000134909","11","Rare Single Gene Mutation, Functional",3,0,7,"protein_coding","ENSG00000134909"
9,"ARHGAP5","Rho GTPase activating protein 5","ENSG00000100852","14","Rare Single Gene Mutation",3,0,4,"protein_coding","ENSG00000100852"
9,"ARHGEF10","Rho guanine nucleotide exchange factor 10","ENSG00000104728","8","Rare Single Gene Mutation, Functional",3,0,4,"protein_coding","ENSG00000104728"
9,"ARHGEF10","Rho guanine nucleotide exchange factor 10","ENSG00000104728","8","Rare Single Gene Mutation, Functional",3,0,4,"protein_coding","ENSG00000274726"
9,"ARHGEF9","Cdc42 guanine nucleotide exchange factor (GEF) 9","ENSG00000131089","X","Rare Single Gene Mutation, Syndromic",1,0,10,"protein_coding","ENSG00000131089"
9,"ARHGEF9","Cdc42 guanine nucleotide exchange factor (GEF) 9","ENSG00000131089","X","Rare Single Gene Mutation, Syndromic",1,0,10,"protein_coding","ENSG00000268229"
9,"ARID1B","AT-rich interaction domain 1B","ENSG00000049618","6","Rare Single Gene Mutation, Syndromic",1,0,44,"protein_coding","ENSG00000049618"
9,"ARID2","AT-rich interaction domain 2","ENSG00000189079","12","Rare Single Gene Mutation, Syndromic",3,1,6,"protein_coding","ENSG00000189079"
9,"ARNT2","aryl-hydrocarbon receptor nuclear translocator 2","ENSG00000172379","15","Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,11,"protein_coding","ENSG00000172379"
9,"ARX","aristaless related homeobox","ENSG00000004848","X","Rare Single Gene Mutation, Syndromic",1,0,17,"protein_coding","ENSG00000004848"
9,"ADORA2A","adenosine A2a receptor","ENSG00000128271","22","Genetic Association",3,0,7,"protein_coding","ENSG00000128271"
9,"ADRB2","adrenergic, beta-2-, receptor, surface","ENSG00000169252","5","Genetic Association",3,0,10,"protein_coding","ENSG00000169252"
9,"ALG6","ALG6, alpha-1,3-glucosyltransferase","ENSG00000088035","1","Syndromic",NA,1,1,"protein_coding","ENSG00000088035"
9,"AR","androgen receptor","ENSG00000169083","X","Genetic Association",3,0,6,"protein_coding","ENSG00000169083"
9,"ASAP2","ArfGAP with SH3 domain, ankyrin repeat and PH domain 2","ENSG00000151693","2","Rare Single Gene Mutation",2,0,3,"protein_coding","ENSG00000151693"
9,"ASB14","ankyrin repeat and SOCS box containing 14","ENSG00000239388","3","Rare Single Gene Mutation",3,0,4,"protein_coding","ENSG00000239388"
9,"ASH1L","Ash1 (absent, small, or homeotic)-like (Drosophila)","ENSG00000116539","1","Rare Single Gene Mutation, Syndromic",1,0,15,"protein_coding","ENSG00000116539"
9,"ASMT","acetylserotonin O-methyltransferase","ENSG00000196433","X,Y","Rare Single Gene Mutation, Genetic Association",3,0,9,"protein_coding","ENSG00000196433"
9,"ASPM","abnormal spindle microtubule assembly","ENSG00000066279","1","Rare Single Gene Mutation, Syndromic",2,0,7,"protein_coding","ENSG00000066279"
9,"ASTN2","astrotactin 2","ENSG00000148219","9","Rare Single Gene Mutation, Genetic Association",2,0,13,"protein_coding","ENSG00000148219"
9,"ASXL3","Additional sex combs like 3 (Drosophila)","ENSG00000141431","18","Rare Single Gene Mutation, Syndromic",1,0,23,"protein_coding","ENSG00000141431"
9,"ATP10A","Probable phospholipid-transporting ATPase VA","ENSG00000206190","15","Rare Single Gene Mutation, Genetic Association, Functional",2,0,9,"protein_coding","ENSG00000206190"
9,"ATP1A1","ATPase Na+/K+ transporting subunit alpha 1","ENSG00000163399","1","Rare Single Gene Mutation, Syndromic",3,1,3,"protein_coding","ENSG00000163399"
9,"ATP1A3","ATPase Na+/K+ transporting subunit alpha 3","ENSG00000105409","19","Rare Single Gene Mutation, Syndromic, Functional",3,1,13,"protein_coding","ENSG00000105409"
9,"ATP1A3","ATPase Na+/K+ transporting subunit alpha 3","ENSG00000105409","19","Rare Single Gene Mutation, Syndromic, Functional",3,1,13,"protein_coding","ENSG00000272584"
9,"ATP2B2","ATPase, Ca++ transporting, plasma membrane 2","ENSG00000157087","3","Rare Single Gene Mutation, Genetic Association",2,0,9,"protein_coding","ENSG00000157087"
9,"ATP6V0A2","ATPase H+ transporting V0 subunit a2","ENSG00000185344","12","Rare Single Gene Mutation",3,0,3,"protein_coding","ENSG00000185344"
9,"ATRX","alpha thalassemia/mental retardation syndrome X-linked","ENSG00000085224","X","Rare Single Gene Mutation, Syndromic",1,0,21,"protein_coding","ENSG00000085224"
9,"ATRX","alpha thalassemia/mental retardation syndrome X-linked","ENSG00000085224","X","Rare Single Gene Mutation, Syndromic",1,0,21,"protein_coding","ENSG00000268946"
9,"AUTS2","autism susceptibility candidate 2","ENSG00000158321","7","Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,38,"protein_coding","ENSG00000158321"
9,"AVPR1A","arginine vasopressin receptor 1A","ENSG00000166148","12","Rare Single Gene Mutation, Genetic Association",2,0,22,"protein_coding","ENSG00000166148"
9,"AVPR1B","arginine vasopressin receptor 1B","ENSG00000198049","1","Genetic Association, Functional",3,0,8,"protein_coding","ENSG00000198049"
9,"AVPR1B","arginine vasopressin receptor 1B","ENSG00000198049","1","Genetic Association, Functional",3,0,8,"protein_coding","ENSG00000265027"
9,"AZGP1","alpha-2-glycoprotein 1, zinc-binding","ENSG00000160862","7","Rare Single Gene Mutation",3,0,3,"protein_coding","ENSG00000160862"
9,"BAZ2B","bromodomain adjacent to zinc finger domain 2B","ENSG00000123636","2","Rare Single Gene Mutation",1,0,4,"protein_coding","ENSG00000123636"
9,"BBS4","Bardet-Biedl syndrome 4","ENSG00000140463","15","Rare Single Gene Mutation, Syndromic",3,0,5,"protein_coding","ENSG00000140463"
9,"BCAS1","breast carcinoma amplified sequence 1","ENSG00000064787","20","Rare Single Gene Mutation",3,0,3,"protein_coding","ENSG00000064787"
9,"BCKDK","Branched chain ketoacid dehydrogenase kinase","ENSG00000103507","16","Rare Single Gene Mutation",1,0,4,"protein_coding","ENSG00000103507"
9,"BCL11A","B-cell CLL/lymphoma 11A (zinc finger protein)","ENSG00000119866","2","Rare Single Gene Mutation, Syndromic",1,0,16,"protein_coding","ENSG00000119866"
9,"BCORL1","BCL6 corepressor like 1","ENSG00000085185","X","Rare Single Gene Mutation, Syndromic",NA,1,4,"protein_coding","ENSG00000085185"
9,"BIRC6","Baculoviral IAP repeat containing 6","ENSG00000115760","2","Rare Single Gene Mutation",3,0,10,"protein_coding","ENSG00000115760"
9,"BRAF","v-raf murine sarcoma viral oncogene homolog B","ENSG00000157764","7","Rare Single Gene Mutation, Syndromic",1,0,8,"protein_coding","ENSG00000157764"
9,"BRCA2","breast cancer 2, early onset","ENSG00000139618","13","Rare Single Gene Mutation",3,0,5,"protein_coding","ENSG00000139618"
9,"BICDL1","BICD family like cargo adaptor 1","ENSG00000135127","12","Genetic Association",3,0,2,"protein_coding","ENSG00000135127"
9,"BRD4","bromodomain containing 4","ENSG00000141867","19","Rare Single Gene Mutation, Syndromic",3,0,4,"protein_coding","ENSG00000141867"
